i,recherche,generation,total
1,0.147,1.031,1.179
2,0.165,1.513,1.678
3,0.171,1.560,1.731
4,0.167,1.679,1.846
5,0.151,1.721,1.872
6,0.156,1.741,1.898
7,0.154,1.823,1.977
8,0.149,1.921,2.070
9,0.160,1.922,2.082
10,0.175,1.917,2.093
11,0.154,1.992,2.146
12,0.159,2.090,2.249
13,0.141,2.233,2.374
14,0.352,2.024,2.377
15,0.156,2.250,2.406
16,0.166,2.271,2.437
17,0.179,2.358,2.536
18,0.168,2.484,2.652
19,0.160,2.549,2.709
20,0.161,2.634,2.795
21,0.184,2.712,2.896
22,0.171,2.816,2.987
23,0.246,2.763,3.009
24,0.155,3.054,3.209
25,0.145,3.122,3.267
26,0.171,3.216,3.388
27,0.176,3.319,3.495
28,0.148,3.404,3.552
29,0.166,3.748,3.914
30,0.132,3.787,3.919
31,0.177,3.867,4.044
32,0.149,3.968,4.117
33,0.177,4.212,4.389
34,0.177,4.318,4.495
35,0.141,4.370,4.511
36,0.173,4.411,4.584
37,0.145,4.617,4.762
38,0.169,4.657,4.826
39,0.194,4.786,4.980
40,0.245,4.839,5.084
41,0.160,5.125,5.286
42,0.170,5.124,5.295
43,0.164,5.153,5.317
44,0.164,5.206,5.370
45,0.151,5.998,6.150
46,0.146,6.184,6.329
47,0.182,6.153,6.335
48,0.174,6.281,6.455
49,0.140,6.999,7.140
50,0.151,8.258,8.408
51,0.181,9.046,9.227
52,0.208,9.846,10.054
53,0.238,9.857,10.095
54,0.205,10.052,10.257
55,0.148,10.488,10.636
56,0.212,10.573,10.784
57,0.147,10.754,10.901
58,0.191,11.330,11.521
59,0.153,14.743,14.896
60,0.163,16.152,16.315
