bande,score
hors droit,0.3071
hors droit,0.3357
hors droit,0.4319
autre domaine juridique,0.4453
hors droit,0.4461
autre domaine juridique,0.5147
autre domaine juridique,0.5150
autre domaine juridique,0.5561
droit du travail,0.5955
autre domaine juridique,0.6027
droit du travail,0.6039
droit du travail,0.6053
droit du travail,0.6131
droit du travail,0.6328
droit du travail,0.6542
droit du travail,0.6611
droit du travail,0.6716
droit du travail,0.6743
droit du travail,0.6793
droit du travail,0.6797
droit du travail,0.6920
droit du travail,0.6924
droit du travail,0.6938
droit du travail,0.6946
droit du travail,0.6958
droit du travail,0.6960
droit du travail,0.7050
droit du travail,0.7076
droit du travail,0.7092
droit du travail,0.7124
droit du travail,0.7135
droit du travail,0.7153
droit du travail,0.7160
droit du travail,0.7164
droit du travail,0.7173
droit du travail,0.7180
droit du travail,0.7214
droit du travail,0.7263
droit du travail,0.7278
droit du travail,0.7335
droit du travail,0.7373
droit du travail,0.7434
droit du travail,0.7487
droit du travail,0.7492
droit du travail,0.7550
droit du travail,0.7558
droit du travail,0.7640
droit du travail,0.7658
droit du travail,0.7670
droit du travail,0.7674
droit du travail,0.7707
droit du travail,0.7805
droit du travail,0.7826
droit du travail,0.7840
droit du travail,0.7881
droit du travail,0.7935
